1|<br/>The Kannada Reading assessment detailed below was carried out by Akshara Foundation in 2011-2012 in a small set of schools to determine the reading proficiency among Government Primary School children. All the children have been assessed using a standardized baseline test and based on their reading ability they are divided into 5 levels:<br/><dl class="data-def"><dt>Zero Level</dt><dd>where the child can barely identify 25% of the alphabet</dd><dt>Letter Level</dt><dd>where the child can identify most of the letters</dd><dt>Word Level</dt><dd>where the child can identify words</dd><dt>Sentence Level</dt><dd>where the child can read sentences</dd><dt>Paragraph Level</dt><dd>where the child can read the entire paragraph</dd></dl>|
2|<br/>Number of Government Primary Schools in Bangalore which this assessment has been carried out:&nbsp;|
3|<br/>Number of Government Primary Schools in this Constituency which this assessment has been carried out:&nbsp;|
4|<br/>Akshara Foundation's Anganwadi Assessment are an essential part of the Anganwadi Programme and detailed below are the results of a baseline assessment of the children of all Anganwadis in Bangalore in 2011-2012. 56 indicators have been devised to measure motor skills; cognitive skills; social and emotional skills; language skills among the children and normalised median score across all the children for this constiuency has been indicated in this analysis.|
5|<br/><br/>Number of Anganwadis in Bangalore which this assessment has been carried out:&nbsp;|
6|<br/>Number of Anganwadis in this Constituency which this assessment has been carried out:&nbsp;|
7|Source: Information for all sections of this report have been collected by Akshara Foundation (www.akshara.org.in). |ಮೂಲ: ಗ್ರಂಥಾಲಯಗಳ ಎಲ್ಲಾ ರೀತಿಯ ವಿವರ ಅಕ್ಷರ ಪ್ರತಿಷ್ಠಾನವು  (www.akshara.org.in) ಸಂಗ್ರಹಿಸಿದೆ. 
8| - this constituency's neighbours by geography (and as visualized by maps as sharing edges with this Constituency) are |-ನ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು  (ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರವನ್ನು ಭೌಗೋಳಿಕವಾಗಿ ಹಾಗು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿರುವಂತೆ ಗಡಿ ಹಂಚಿಕೊಳ್ಳುವ ನೆರೆ ಹೊರೆಯ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರಗಳು ) - 
9|Information is not available.|ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ . 
10|The report has been generated in collaboration with <img  src="/images/KLP_logo2.png" width="65px"/> Karnataka Learrning Partnership. In case of queries please write to Team@klp.org.in|ಈ ವರದಿಯ ಪ್ರಕಟಣೆಗೆ ಸಹಯೋಗಿ <img  src="/images/KLP_logo2.png" width="65px"/> ಕರ್ನಾಟಕ  ಕಲಿಕಾ ಸಹಭಾಗಿತ್ವ. ಈ ವರದಿಯನ್ನು  ಕುರಿತು ಪ್ರಶ್ನೆಗಳಿದ್ದಲ್ಲಿ Team@klp.org.in-ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
11|<br/>Number of Government Primary School students in this Constituency assessed:&nbsp;|
12|<br/>Number of Anganwadi students in this Constituency assessed:&nbsp;|
13|The above scores are the median score obtained on 56 by aggregating scores across all students of Bangalore, or the Constituency, or all girls/boys and represented as a percentage.|
